CUST_ID;BALANCE;BALANCE_FREQUENCY;PURCHASES;ONEOFF_PURCHASES;INSTALLMENTS_PURCHASES;CASH_ADVANCE;PURCHASES_FREQUENCY;ONEOFF_PURCHASES_FREQUENCY;PURCHASES_INSTALLMENTS_FREQUENCY;CASH_ADVANCE_FREQUENCY;CASH_ADVANCE_TRX;PURCHASES_TRX;CREDIT_LIMIT;PAYMENTS;MINIMUM_PAYMENTS;PRC_FULL_PAYMENT;TENURE
C10056;0.000349759;0.636364;0.006321426;0.0;0.013777778;0.0;0.666667;0.0;0.666667;0.0;0.0;0.022346369;0.033333333;0.008221699;0.0;0.0;1.0
C10057;0.068895995;1.0;0.026180898;0.031498053;0.0;0.0;0.25;0.25;0.0;0.0;0.0;0.016759777;0.2;0.0;0.0;0.0;1.0
C10058;0.190368732;1.0;0.006388107;0.007685486;0.0;0.014181338;0.25;0.25;0.0;0.277778;0.040650407;0.011173184;0.133333333;0.0;0.0;0.0;1.0
C10059;0.125311835;1.0;0.106396121;0.117491245;0.019045778;0.0;0.916667;0.916667;0.5;0.0;0.0;0.117318436;0.25;0.11195906;0.01716503;0.083333;1.0
C10060;0.208533838;1.0;0.0;0.0;0.0;0.004764294;0.0;0.0;0.0;0.121212;0.024390244;0.0;0.133333333;0.015081158;0.020943485;0.0;0.916666667
C10061;0.288497825;1.0;0.004669698;0.0;0.010177778;0.020590767;0.416667;0.0;0.333333;0.222222;0.032520325;0.016759777;0.2;0.041610712;0.024801992;0.0;1.0
C10062;0.098676698;0.727273;0.002304262;0.002772241;0.0;0.0;0.166667;0.166667;0.0;0.0;0.0;0.005586592;0.216666667;0.069195267;0.007173577;0.0;1.0
C10063;0.081698387;1.0;0.00134993;0.001624092;0.0;0.0;0.083333;0.083333;0.0;0.0;0.0;0.002793296;0.053333333;0.006665492;0.01095743;0.0;1.0
C10064;0.042513107;0.909091;0.0;0.0;0.0;0.081033059;0.0;0.0;0.0;0.363636667;0.056910569;0.0;0.138333333;0.086199148;0.003162641;0.090909;0.916666667
C10067;0.101027822;1.0;0.038492181;0.0;0.083895111;0.034069673;1.0;0.0;1.0;0.055555333;0.032520325;0.170391061;0.061666667;0.072711714;0.042758264;0.083333;1.0
C10068;0.092319865;1.0;0.008408108;0.007978411;0.003872;0.0;0.583333;0.333333;0.166667;0.0;0.0;0.030726257;0.06;0.015327857;0.011751734;0.0;1.0
C10069;0.042526995;0.875;0.0;0.0;0.0;0.0192719;0.0;0.0;0.0;0.083333333;0.008130081;0.0;0.05;0.002879939;0.00234814;0.0;0.666666667
C10070;0.082775485;1.0;0.0;0.0;0.0;0.008123275;0.0;0.0;0.0;0.277778;0.048780488;0.0;0.083333333;0.010646815;0.004618523;0.0;1.0
C10071;0.20955178;1.0;0.005373212;0.00467601;0.00324;0.0;0.666667;0.083333;0.583333;0.0;0.0;0.022346369;0.2;0.135580345;0.013108979;0.083333;1.0
C10072;0.089241355;1.0;0.027807952;0.033455549;0.0;0.0;0.333333;0.333333;0.0;0.0;0.0;0.011173184;0.056666667;0.03201437;0.012086791;0.0;1.0
C10073;0.288171181;1.0;0.00854616;0.0;0.018626667;0.013267636;0.916667;0.0;0.833333;0.222222;0.032520325;0.030726257;0.208333333;0.025397816;0.028543255;0.0;1.0
C10075;0.034448786;1.0;0.0;0.0;0.0;0.031277834;0.0;0.0;0.0;0.083333333;0.024390244;0.0;0.233333333;0.017950145;0.00184518;0.25;0.666666667
C10077;0.094993397;1.0;0.014557632;0.012342114;0.009369778;0.0;0.5;0.1;0.4;0.0;0.0;0.022346369;0.075;0.017527433;0.008150617;0.0;0.833333333
C10078;0.027954138;0.909091;0.016149;0.012674783;0.012235556;0.0;0.272727;0.090909;0.181818;0.0;0.0;0.019553073;0.2;0.025732238;0.002297069;0.0;0.916666667
C10079;0.307745155;1.0;0.011457482;0.00612101;0.013883111;0.0;0.833333;0.166667;0.75;0.0;0.0;0.039106145;0.2;0.039234755;0.028288648;0.0;1.0
C10080;0.090722359;1.0;0.012359611;0.01486976;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.047486034;0.366666667;0.058356348;0.008162386;0.0;1.0
C10081;0.030394658;1.0;0.006525343;0.0;0.014222222;0.0;0.75;0.0;0.666667;0.0;0.0;0.022346369;0.05;0.028368858;0.00248915;0.0;1.0
C10083;0.346257032;1.0;0.007925437;0.009535036;0.0;0.098052778;0.583333;0.583333;0.0;0.277778;0.056910569;0.019553073;0.233333333;0.032029487;0.032764384;0.0;1.0
C10084;0.000911486;0.909091;0.004992907;0.000986476;0.009095111;0.0;0.666667;0.166667;0.583333;0.0;0.0;0.036312849;0.166666667;0.007054251;0.001590491;0.181818;1.0
C10085;0.004284205;0.272727;0.0;0.0;0.0;0.06333213;0.0;0.0;0.0;0.111111333;0.040650407;0.0;0.316666667;0.002298218;0.002155481;0.0;1.0
C10086;0.000198828;0.636364;0.002713115;0.000691834;0.00466;0.0;0.416667;0.166667;0.25;0.0;0.0;0.01396648;0.4;0.004141311;0.001302692;0.444444;1.0
C10087;0.002229907;0.545455;0.008075112;0.0;0.0176;0.0;0.5;0.0;0.416667;0.0;0.0;0.033519553;0.04;0.014305697;0.001842906;1.0;1.0
C10088;0.101630437;1.0;0.100237421;0.110775307;0.017789333;0.006233818;1.0;1.0;0.333333;0.055555333;0.008130081;0.139664804;0.3;0.097021352;0.007784141;0.0;1.0
C10093;0.212008417;1.0;0.000917626;0.00110399;0.0;0.002211375;0.083333;0.083333;0.0;0.055555333;0.008130081;0.002793296;0.15;0.021171401;0.012681447;0.0;1.0
C10094;0.320864402;1.0;0.0;0.0;0.0;0.057645623;0.0;0.0;0.0;0.277778;0.113821138;0.0;0.216666667;0.029616753;0.037488843;0.0;1.0
C10096;0.103817293;1.0;0.021045046;0.005566561;0.035784;0.091985059;0.909091;0.090909;0.818182;0.363636667;0.170731707;0.047486034;0.133333333;0.060258982;0.011919287;0.090909;0.916666667
C10097;0.069393817;1.0;0.000930881;0.001119936;0.0;0.010515215;0.083333;0.083333;0.0;0.055555333;0.008130081;0.002793296;0.06;0.008691395;0.004090775;0.0;1.0
C10098;0.06867134;1.0;0.008270872;0.009950627;0.0;0.0;0.166667;0.166667;0.0;0.0;0.0;0.005586592;0.08;0.0;0.0;0.0;1.0
C10099;0.122326777;1.0;0.004350364;0.005233892;0.0;0.0;0.25;0.25;0.0;0.0;0.0;0.008379888;0.08;0.0;0.0;0.0;1.0
C10100;0.05985268;1.0;0.0;0.0;0.0;0.002558762;0.0;0.0;0.0;0.055555333;0.008130081;0.0;0.04;0.002993281;0.038035009;0.0;1.0
C10101;0.085067685;1.0;0.015078436;0.018140759;0.0;0.0;0.666667;0.666667;0.0;0.0;0.0;0.030726257;0.2;0.008223902;0.005093022;0.0;1.0
C10102;0.184091047;1.0;0.0;0.0;0.0;0.036361597;0.0;0.0;0.0;0.333333333;0.048780488;0.0;0.133333333;0.0;0.0;0.0;1.0
C10103;0.00024723;0.363636;0.001610944;0.0;0.003511111;0.0;0.25;0.0;0.166667;0.0;0.0;0.008379888;0.233333333;0.004294437;0.001593865;1.0;1.0
C10105;0.000256044;0.666667;0.000407834;0.000490662;0.0;0.0;0.111111;0.111111;0.0;0.0;0.0;0.002793296;0.05;0.000522223;0.000797233;0.0;0.75
C10106;0.001228496;0.272727;0.027452932;0.0;0.059834667;0.0;1.0;0.0;1.0;0.0;0.0;0.033519553;0.066666667;0.014040385;0.00071711;0.0;1.0
C10107;0.185883325;1.0;0.057582071;0.037791039;0.057039556;0.0;0.916667;0.916667;0.833333;0.0;0.0;0.209497207;0.19;0.180846217;0.027534362;0.083333;1.0
C10109;0.045269448;1.0;0.0;0.0;0.0;0.019524061;0.0;0.0;0.0;0.055555333;0.008130081;0.0;0.133333333;0.044101436;0.002811658;0.083333;1.0
C10110;0.128211166;1.0;0.01647649;0.019822748;0.0;0.020363047;0.25;0.25;0.0;0.222222;0.048780488;0.011173184;0.133333333;0.010503275;0.013441002;0.0;1.0
C10111;0.021459507;1.0;0.019201637;0.0;0.041850667;0.0;1.0;0.0;1.0;0.0;0.0;0.033519553;0.083333333;0.02164348;0.002311469;0.083333;1.0
C10113;0.065463188;1.0;0.008639962;0.004358061;0.010936;0.008748906;0.666667;0.166667;0.5;0.055555333;0.016260163;0.027932961;0.066666667;0.011376843;0.006522578;0.0;1.0
C10115;0.008203309;0.818182;0.027627893;0.014367322;0.034188;0.0;0.916667;0.333333;0.833333;0.0;0.0;0.094972067;0.183333333;0.016935165;0.001417685;0.0;1.0
C10116;0.178192855;1.0;0.0;0.0;0.0;0.021391776;0.0;0.0;0.0;0.055555333;0.016260163;0.0;0.14;0.0;0.0;0.0;1.0
C10117;0.279522941;1.0;0.057345527;0.021027814;0.086892444;0.053256289;1.0;0.25;1.0;0.222222;0.06504065;0.226256983;0.283333333;0.029759052;0.024003699;0.0;1.0
C10118;0.339154287;1.0;0.0;0.0;0.0;0.071286117;0.0;0.0;0.0;0.166666667;0.089430894;0.0;0.233333333;0.025191846;0.036124234;0.0;1.0
C10119;0.009207603;0.818182;0.03076903;0.030724279;0.011401778;0.0;0.666667;0.416667;0.333333;0.0;0.0;0.039106145;0.166666667;0.037148515;0.001788334;1.0;1.0
C10120;0.035718648;1.0;0.021320946;0.016386887;0.016783111;0.0;1.0;0.583333;1.0;0.0;0.0;0.069832402;0.1;0.010891486;0.002718633;0.0;1.0
C10121;0.011750354;0.636364;0.047100331;0.0;0.102656889;0.0;0.583333;0.0;0.5;0.0;0.0;0.033519553;0.216666667;0.023792914;0.001300586;0.333333;1.0
C10122;0.093767471;1.0;0.0;0.0;0.0;0.012224023;0.0;0.0;0.0;0.166666667;0.081300813;0.0;0.06;0.013558194;0.031923272;0.0;1.0
C10123;0.002884673;0.272727;0.010093889;0.0;0.022;0.0;0.166667;0.0;0.166667;0.0;0.0;0.005586592;0.233333333;0.038836513;0.001924581;1.0;1.0
C10124;0.139820957;1.0;0.0;0.0;0.0;0.010798768;0.0;0.0;0.0;0.222222;0.032520325;0.0;0.1;0.018383115;0.00928206;0.0;1.0
C10126;0.076895131;1.0;0.023947804;0.028811432;0.0;0.0;0.25;0.25;0.0;0.0;0.0;0.022346369;0.3;0.0;0.0;0.0;1.0
C10128;0.151046343;1.0;0.0;0.0;0.0;0.021190237;0.0;0.0;0.0;0.111111333;0.016260163;0.0;0.106666667;0.021005437;0.018488656;0.0;1.0
C10132;0.003017003;0.75;0.0;0.0;0.0;0.00578552;0.0;0.0;0.0;0.083333333;0.008130081;0.0;0.04;0.007607307;0.001108513;0.166667;0.666666667
C10133;0.222959838;1.0;0.039912666;0.026429513;0.039111111;0.0;0.833333;0.166667;0.583333;0.0;0.0;0.053072626;0.166666667;0.019801368;0.014219118;0.0;1.0
C10136;0.006125784;0.272727;0.018495268;0.022251526;0.0;0.005803441;0.25;0.25;0.0;0.055555333;0.008130081;0.022346369;0.166666667;0.0;0.0;0.0;1.0
C10137;0.243544315;1.0;0.025920293;0.008624368;0.040870222;0.0;0.833333;0.25;0.833333;0.0;0.0;0.092178771;0.166666667;0.037578397;0.046753783;0.0;1.0
C10138;0.001275261;0.636364;0.005110159;0.0;0.011137778;0.0;0.583333;0.0;0.5;0.0;0.0;0.019553073;0.1;0.006304289;0.002272486;0.0;1.0
C10140;0.012136077;1.0;0.008972346;0.0;0.019555556;0.0;0.916667;0.0;0.916667;0.0;0.0;0.061452514;0.133333333;0.010924691;0.002422461;0.0;1.0
C10141;0.082057553;1.0;0.027133598;0.028694655;0.007155111;0.0;0.5;0.166667;0.25;0.0;0.0;0.022346369;0.066666667;0.020125272;0.009287335;0.0;1.0
C10143;0.037080699;1.0;0.018308888;0.017529394;0.008148444;0.012437498;0.916667;0.333333;0.916667;0.166666667;0.024390244;0.05027933;0.04;0.019170536;0.002415044;0.0;1.0
C10145;0.117370533;1.0;0.014694256;0.017678555;0.0;0.01534475;1.0;1.0;0.0;0.055555333;0.008130081;0.033519553;0.083333333;0.020923924;0.009019148;0.0;1.0
C10146;0.049736067;1.0;0.004018388;0.003647091;0.002151111;0.0;0.333333;0.25;0.166667;0.0;0.0;0.01396648;0.033333333;0.009703983;0.006666791;0.0;1.0
C10147;0.040121651;0.818182;0.0;0.0;0.0;0.027729738;0.0;0.0;0.0;0.111111333;0.024390244;0.0;0.25;0.0308904;0.002263687;0.0;1.0
C10148;0.280826321;1.0;0.0;0.0;0.0;0.084908573;0.0;0.0;0.0;0.333333333;0.073170732;0.0;0.233333333;0.0;0.0;0.0;1.0
C10151;0.160551295;1.0;0.020901488;0.025146432;0.0;0.0;0.083333;0.083333;0.0;0.0;0.0;0.005586592;0.25;0.013778266;0.010727959;0.0;1.0
C10152;0.001016353;0.909091;0.014064153;0.0;0.030653333;0.0;0.833333;0.0;0.833333;0.0;0.0;0.027932961;0.333333333;0.014721396;0.0;0.0;1.0
C10153;0.01390588;1.0;0.000584222;0.000702873;0.0;0.008151984;0.083333;0.083333;0.0;0.055555333;0.008130081;0.002793296;0.3;0.024361079;0.002543307;0.083333;1.0
C10154;0.058195372;0.909091;0.019269337;0.004046981;0.034666667;0.0;0.5;0.25;0.416667;0.0;0.0;0.025139665;0.05;0.038547748;0.012991778;0.0;1.0
C10155;0.047606319;1.0;0.02119105;0.001962648;0.042631111;0.002187276;0.833333;0.083333;0.833333;0.055555333;0.008130081;0.030726257;0.45;0.036576915;0.006127732;0.083333;1.0
C10157;0.080024175;1.0;0.083103706;0.081505842;0.033470667;0.0;1.0;1.0;1.0;0.0;0.0;0.086592179;0.216666667;0.04444389;0.004309813;0.0;1.0
C10158;0.002583936;1.0;0.017745669;0.0;0.038677333;0.0;1.0;0.0;1.0;0.0;0.0;0.067039106;0.266666667;0.016479012;0.002526119;1.0;1.0
C10160;0.005590254;0.636364;0.050227194;0.019369622;0.074381778;0.0;1.0;0.5;1.0;0.0;0.0;0.12849162;0.133333333;0.050742261;0.001247833;0.636364;1.0
C10163;0.0910832;1.0;0.0;0.0;0.0;0.00140602;0.0;0.0;0.0;0.111111333;0.016260163;0.0;0.06;0.007166085;0.037012667;0.0;1.0
C10165;0.054947372;1.0;0.00601555;0.007237266;0.0;0.001985264;0.083333;0.083333;0.0;0.055555333;0.008130081;0.005586592;0.04;0.008663135;0.004748805;0.0;1.0
C10166;0.143745616;1.0;0.0;0.0;0.0;0.009115753;0.0;0.0;0.0;0.277778;0.040650407;0.0;0.1;0.015354992;0.009446858;0.0;1.0
C10167;0.210827546;1.0;0.0;0.0;0.0;0.020967643;0.0;0.0;0.0;0.055555333;0.008130081;0.0;0.283333333;0.019896599;0.01540647;0.0;1.0
C10168;0.045768137;1.0;0.013218305;0.002821307;0.023698667;0.0;1.0;0.083333;1.0;0.0;0.0;0.075418994;0.04;0.021901694;0.002726198;0.0;1.0
C10169;0.084546998;1.0;0.011362049;0.012895581;0.001402222;0.0;0.25;0.083333;0.166667;0.0;0.0;0.01396648;0.133333333;0.00833398;0.008062249;0.0;1.0
C10171;0.304602486;1.0;0.0;0.0;0.0;0.007848381;0.0;0.0;0.0;0.055555333;0.008130081;0.0;0.216666667;0.026544286;0.025816306;0.0;1.0
C10172;0.043223123;0.363636;0.002684363;0.0;0.005850667;0.0;1.0;0.0;1.0;0.0;0.0;0.033519553;0.266666667;0.057491843;0.003182981;0.0;1.0
C10173;0.031280418;1.0;0.103551887;0.106241344;0.033227111;0.030219068;0.916667;0.666667;0.75;0.055555333;0.008130081;0.117318436;0.5;0.093779875;0.003165896;0.916667;1.0
C10174;0.059240474;1.0;0.018854162;0.0;0.041093333;0.0;1.0;0.0;1.0;0.0;0.0;0.033519553;0.033333333;0.023712078;0.022865123;0.0;1.0
C10175;0.018349974;1.0;0.040281756;0.034186881;0.025862222;0.0;0.666667;0.416667;0.333333;0.0;0.0;0.047486034;0.133333333;0.035389585;0.002188561;0.0;1.0
C10176;0.0441526;0.666667;0.0;0.0;0.0;0.077895516;0.0;0.0;0.0;0.148148;0.040650407;0.0;0.133333333;0.071395122;0.002528216;0.0;0.75
C10178;0.001213618;0.363636;0.006117509;0.0;0.013333333;0.0;0.25;0.0;0.166667;0.0;0.0;0.008379888;0.416666667;0.005755921;0.000568706;0.181818;1.0
C10181;0.084463589;1.0;0.0;0.0;0.0;0.004364644;0.0;0.0;0.0;0.111111333;0.016260163;0.0;0.06;0.009277449;0.005350339;0.0;1.0
C10182;0.098351764;1.0;0.015632478;0.018807323;0.0;0.021577869;0.833333;0.833333;0.0;0.166666667;0.040650407;0.033519553;0.076666667;0.0;0.0;0.0;1.0
C10183;0.154031357;1.0;0.0;0.0;0.0;0.043287115;0.0;0.0;0.0;0.388888667;0.105691057;0.0;0.1;0.047939815;0.022769731;0.0;1.0
C10185;0.001902854;0.454545;0.005222517;0.0;0.011382667;0.0;0.416667;0.0;0.416667;0.0;0.0;0.01396648;0.176666667;0.01639099;0.002474105;0.166667;1.0
C10186;0.047434293;1.0;0.055006192;0.003692232;0.113199111;0.0;1.0;0.333333;1.0;0.0;0.0;0.108938547;0.083333333;0.033244224;0.003970379;0.0;1.0
C10190;0.006167192;1.0;0.013330663;0.01209482;0.007143556;0.0;0.666667;0.416667;0.416667;0.0;0.0;0.041899441;0.333333333;0.008706136;0.001790796;0.0;1.0
C10191;0.008849524;0.818182;0.040967937;0.0;0.089291111;0.0;0.833333;0.0;0.75;0.0;0.0;0.061452514;0.04;0.05151191;0.002586682;0.142857;1.0
C10192;0.089586828;1.0;0.003013485;0.0;0.006568;0.03515461;0.166667;0.0;0.166667;0.166666667;0.032520325;0.005586592;0.2;0.023383834;0.004902684;0.0;1.0
C10193;0.045926424;1.0;0.010533127;0.003902481;0.015887556;0.0;1.0;0.333333;0.916667;0.0;0.0;0.083798883;0.03;0.011430054;0.009081654;0.0;1.0
C10194;0.045213199;1.0;0.019770973;0.023786317;0.0;0.009466686;0.416667;0.416667;0.0;0.055555333;0.008130081;0.016759777;0.08;0.0;0.0;0.0;1.0
C10196;0.050740152;1.0;0.006350994;0.007640835;0.0;0.020280363;0.333333;0.333333;0.0;0.055555333;0.008130081;0.041899441;0.05;0.005471497;0.003747069;0.0;1.0
C10197;0.002027798;0.727273;0.005717832;0.006879082;0.0;0.0;0.25;0.25;0.0;0.0;0.0;0.008379888;0.205;0.005015488;0.000730304;0.090909;1.0
C10198;0.009960961;1.0;0.001348707;0.00162262;0.0;0.0;0.083333;0.083333;0.0;0.0;0.0;0.005586592;0.2;0.0;0.0;0.0;1.0
C10199;0.002122405;0.363636;0.001615022;0.001943022;0.0;0.034613341;0.083333;0.083333;0.0;0.055555333;0.008130081;0.002793296;0.133333333;0.032488813;0.000324789;0.083333;1.0
C10201;0.209205205;1.0;0.015427134;0.018560275;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.041899441;0.133333333;0.021901389;0.018731478;0.0;1.0
C10202;0.293483464;1.0;0.071520815;0.014811862;0.129048889;0.0;0.916667;0.166667;0.833333;0.0;0.0;0.094972067;0.383333333;0.027850078;0.023887804;0.0;1.0
C10203;0.014764918;0.818182;0.064513004;0.00139348;0.138084;0.0;0.75;0.083333;0.666667;0.0;0.0;0.100558659;0.266666667;0.047768942;0.002448051;0.888889;1.0
C10204;0.006839815;0.909091;0.027389922;0.0265642;0.011573333;0.0;1.0;1.0;0.583333;0.0;0.0;0.092178771;0.5;0.020574305;0.002387626;0.545455;1.0
C10205;0.103649667;1.0;0.017801951;0.0214174;0.0;0.0;0.166667;0.166667;0.0;0.0;0.0;0.01396648;0.266666667;0.010680337;0.009981949;0.0;1.0
C10208;0.029750666;0.909091;0.008273931;0.007697261;0.004088889;0.022161931;0.5;0.166667;0.416667;0.222222;0.048780488;0.033519553;0.066666667;0.024641139;0.004097215;0.0;1.0
